year,month,age,portfolio_end,income,taxed_income,monthly_raw_expenses,raw_expenses,net_expenses,gross_up,event
2042,8,72.58,7796888.1,32400.0,22129.2,6204.69,74456.23,52327.03,76613.52,
2042,9,72.67,7840646.95,32400.0,22129.2,6219.79,74637.45,52508.25,76878.84,
2042,10,72.75,7884665.17,32400.0,22129.2,6234.93,74819.1,52689.9,77144.8,
2042,11,72.83,7928944.39,32400.0,22129.2,6250.1,75001.2,52872.0,77411.42,
2042,12,72.92,7973486.24,32400.0,22129.2,6265.31,75183.74,53054.54,77678.68,
2043,1,73.0,8018292.34,32400.0,22129.2,6280.56,75366.72,53237.52,77946.59,
2043,2,73.08,8063364.34,32400.0,22129.2,6295.85,75550.15,53420.95,78215.15,
2043,3,73.17,8108703.91,32400.0,22129.2,6311.17,75734.02,53604.82,78484.37,
2043,4,73.25,8154312.7,32400.0,22129.2,6326.53,75918.35,53789.15,78754.24,
2043,5,73.33,8200192.39,32400.0,22129.2,6341.93,76103.12,53973.92,79024.77,
2043,6,73.42,8246344.68,32400.0,22129.2,6357.36,76288.34,54159.14,79295.96,
2043,7,73.5,8292771.26,32400.0,22129.2,6372.83,76474.01,54344.81,79567.81,
2043,8,73.58,8339473.84,32400.0,22129.2,6388.34,76660.14,54530.94,79840.32,
2043,9,73.67,8386454.14,32400.0,22129.2,6403.89,76846.71,54717.51,80113.49,
2043,10,73.75,8433713.9,32400.0,22129.2,6419.48,77033.75,54904.55,80387.33,
2043,11,73.83,8481254.85,32400.0,22129.2,6435.1,77221.23,55092.03,80661.83,
2043,12,73.92,8529078.75,32400.0,22129.2,6450.76,77409.17,55279.97,80937.01,
2044,1,74.0,8577187.36,32400.0,22129.2,6466.46,77597.57,55468.37,81212.85,
2044,2,74.08,8625582.46,32400.0,22129.2,6482.2,77786.43,55657.23,81489.36,
2044,3,74.17,8674265.84,32400.0,22129.2,6497.98,77975.75,55846.55,81766.55,
2044,4,74.25,8723239.29,32400.0,22129.2,6513.79,78165.53,56036.33,82044.41,
2044,5,74.33,8772504.63,32400.0,22129.2,6529.65,78355.77,56226.57,82322.95,
2044,6,74.42,8822063.68,32400.0,22129.2,6545.54,78546.48,56417.28,82602.16,
2044,7,74.5,8871918.26,32400.0,22129.2,6561.47,78737.64,56608.44,82882.06,
2044,8,74.58,8922070.23,32400.0,22129.2,6577.44,78929.28,56800.08,83162.63,
2044,9,74.67,8972521.44,32400.0,22129.2,6593.45,79121.38,56992.18,83443.89,
2044,10,74.75,9023273.76,32400.0,22129.2,6609.5,79313.94,57184.74,83725.83,
2044,11,74.83,9074329.07,32400.0,22129.2,6625.58,79506.98,57377.78,84008.46,
2044,12,74.92,9125689.26,32400.0,22129.2,6641.71,79700.49,57571.29,84291.78,
2045,1,75.0,9177356.24,32400.0,22129.2,6657.87,79894.46,57765.26,84575.79,
2045,2,75.08,9229331.92,32400.0,22129.2,6674.08,80088.91,57959.71,84860.49,
2045,3,75.17,9281618.23,32400.0,22129.2,6690.32,80283.83,58154.63,85145.88,
2045,4,75.25,9334217.11,32400.0,22129.2,6706.6,80479.23,58350.03,85431.96,
2045,5,75.33,9387130.52,32400.0,22129.2,6722.93,80675.1,58545.9,85718.74,
2045,6,75.42,9440360.41,32400.0,22129.2,6739.29,80871.45,58742.25,86006.22,
2045,7,75.5,9493908.77,32400.0,22129.2,6755.69,81068.28,58939.08,86294.4,
2045,8,75.58,9547777.59,32400.0,22129.2,6772.13,81265.58,59136.38,86583.29,
2045,9,75.67,9601968.88,32400.0,22129.2,6788.61,81463.37,59334.17,86872.87,
2045,10,75.75,9656484.64,32400.0,22129.2,6805.14,81661.64,59532.44,87163.16,
2045,11,75.83,9711326.9,32400.0,22129.2,6821.7,81860.39,59731.19,87454.15,
2045,12,75.92,9766497.72,32400.0,22129.2,6838.3,82059.62,59930.42,87745.86,
2046,1,76.0,9821999.14,32400.0,22129.2,6854.94,82259.34,60130.14,88038.27,
2046,2,76.08,9877833.23,32400.0,22129.2,6871.63,82459.54,60330.34,88331.4,
2046,3,76.17,9934002.07,32400.0,22129.2,6888.35,82660.24,60531.04,88625.24,
2046,4,76.25,9990507.75,32400.0,22129.2,6905.12,82861.42,60732.22,88919.79,
2046,5,76.33,10047352.39,32400.0,22129.2,6921.92,83063.09,60933.89,89215.06,
2046,6,76.42,10104538.1,32400.0,22129.2,6938.77,83265.25,61136.05,89511.05,
2046,7,76.5,10162067.03,32400.0,22129.2,6955.66,83467.9,61338.7,89807.76,
2046,8,76.58,10219941.31,32400.0,22129.2,6972.59,83671.05,61541.85,90105.19,
2046,9,76.67,10278163.1,32400.0,22129.2,6989.56,83874.69,61745.49,90403.35,
2046,10,76.75,10336734.6,32400.0,22129.2,7006.57,84078.82,61949.62,90702.23,
2046,11,76.83,10395657.97,32400.0,22129.2,7023.62,84283.45,62154.25,91001.84,
2046,12,76.92,10454935.43,32400.0,22129.2,7040.72,84488.59,62359.39,91302.17,
2047,1,77.0,10514569.2,32400.0,22129.2,7057.85,84694.22,62565.02,91603.24,
2047,2,77.08,10574561.5,32400.0,22129.2,7075.03,84900.35,62771.15,91905.05,
2047,3,77.17,10634914.58,32400.0,22129.2,7092.25,85106.98,62977.78,92207.58,
2047,4,77.25,10695630.7,32400.0,22129.2,7109.51,85314.11,63184.91,92510.85,
2047,5,77.33,10756712.14,32400.0,22129.2,7126.81,85521.75,63392.55,92814.87,
2047,6,77.42,10818161.18,32400.0,22129.2,7144.16,85729.9,63600.7,93119.62,
2047,7,77.5,10879980.13,32400.0,22129.2,7161.55,85938.55,63809.35,93425.11,
2047,8,77.58,10942171.31,32400.0,22129.2,7178.98,86147.71,64018.51,93731.34,
2047,9,77.67,11004737.04,32400.0,22129.2,7196.45,86357.38,64228.18,94038.33,
2047,10,77.75,11067679.68,32400.0,22129.2,7213.96,86567.55,64438.35,94346.05,
2047,11,77.83,11131001.59,32400.0,22129.2,7231.52,86778.24,64649.04,94654.53,
2047,12,77.92,11194705.14,32400.0,22129.2,7249.12,86989.45,64860.25,94963.76,
2048,1,78.0,11258792.73,32400.0,22129.2,7266.76,87201.16,65071.96,95273.74,
2048,2,78.08,11323266.77,32400.0,22129.2,7284.45,87413.4,65284.2,95584.48,
2048,3,78.17,11388129.68,32400.0,22129.2,7302.18,87626.15,65496.95,95895.97,
2048,4,78.25,11453383.89,32400.0,22129.2,7319.95,87839.41,65710.21,96208.22,
2048,5,78.33,11519031.88,32400.0,22129.2,7337.77,88053.2,65924.0,96521.23,
2048,6,78.42,11585076.09,32400.0,22129.2,7355.63,88267.5,66138.3,96835.0,
2048,7,78.5,11651519.03,32400.0,22129.2,7373.53,88482.33,66353.13,97149.53,
2048,8,78.58,11718363.18,32400.0,22129.2,7391.47,88697.68,66568.48,97464.83,
2048,9,78.67,11785611.07,32400.0,22129.2,7409.46,88913.55,66784.35,97780.9,
2048,10,78.75,11853265.24,32400.0,22129.2,7427.5,89129.95,67000.75,98097.74,
2048,11,78.83,11921328.23,32400.0,22129.2,7445.57,89346.88,67217.68,98415.35,
2048,12,78.92,11989802.6,32400.0,22129.2,7463.69,89564.34,67435.14,98733.73,
2049,1,79.0,12058690.94,32400.0,22129.2,7481.86,89782.32,67653.12,99052.88,
2049,2,79.08,12127995.86,32400.0,22129.2,7500.07,90000.83,67871.63,99372.82,
2049,3,79.17,12197719.95,32400.0,22129.2,7518.32,90219.88,68090.68,99693.53,
2049,4,79.25,12267865.87,32400.0,22129.2,7536.62,90439.46,68310.26,100015.02,
2049,5,79.33,12338436.24,32400.0,22129.2,7554.96,90659.57,68530.37,100337.29,
2049,6,79.42,12409433.75,32400.0,22129.2,7573.35,90880.22,68751.02,100660.35,
2049,7,79.5,12480861.07,32400.0,22129.2,7591.78,91101.41,68972.21,100984.2,
2049,8,79.58,12552720.9,32400.0,22129.2,7610.26,91323.13,69193.93,101308.83,
